type_chaussures,prix,adresse,image_lien
Chaussures Timberland,30000.0,"location_onFann, Dakar, Sénégal",https://images.coinafrique.com/thumb_5150532_uploaded_image1_1737681617.jpg
Chaussures homme,15000.0,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5149979_uploaded_image1_1737655711.jpg
Chaussures Jordan 11,25000.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5147842_uploaded_image1_1737560986.jpg
Chaussures homme,28000.0,"location_onSicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5145861_uploaded_image1_1737475001.jpg
Chaussures Nike,15000.0,"location_onSicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5145824_uploaded_image1_1737473368.jpg
Chaussures Nike,25000.0,"location_onSicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5145813_uploaded_image1_1737473121.jpg
Chaussures Nike,15000.0,"location_onSicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5145720_uploaded_image1_1737470265.jpg
Chaussures Adidas,20000.0,"location_onSicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5145714_uploaded_image1_1737470139.jpg
Chaussures Puma,30000.0,"location_onSicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5145706_uploaded_image1_1737469975.jpg
Chaussures homme,15000.0,"location_onSicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5145643_uploaded_image1_1737467967.jpg
Baskets Alexandre McQueen,43000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5143550_uploaded_image1_1737371274.jpg
Chaussures homme,,"location_onYoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5142907_uploaded_image1_1737320376.jpg
Chaussures homme,15000.0,"location_onMedina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5141203_uploaded_image1_1737204782.jpg
Chaussures homme,40000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5138888_uploaded_image1_1737064702.jpg
Chaussures homme,25000.0,"location_onOuest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5138404_uploaded_image1_1737043207.jpg
Chaussures homme,25000.0,"location_onOuest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5138351_uploaded_image1_1737041315.jpg
Chaussures Berluti,25000.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5137747_uploaded_image1_1737022857.jpg
Chaussures homme,25000.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5136509_uploaded_image1_1736959053.jpg
Chaussures homme,13000.0,"location_onDiamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5135921_uploaded_image1_1736938939.jpg
Chaussures homme,13000.0,"location_onDiamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5135915_uploaded_image1_1736938739.jpg
Chaussures Adidas,17000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5134449_uploaded_image1_1736863836.jpg
